longitude,latitude,housing_median_age,total_rooms,total_bedrooms,Liv_Area,population,households,median_income,Sale_Price,Neighborhood,ocean_proximity
-122.26,37.83,50,1125,2,899,616,304,2.026,142500,Santa Ana,NEAR BAY
-122.27,37.82,43,1007,3,225,558,253,1.7348,137500,Bakersfield,NEAR BAY
-122.26,37.82,40,624,4,876,423,160,0.9506,187500,Sacramento,NEAR BAY
-122.27,37.82,40,946,4,457,700,352,1.775,112500,San Jose,NEAR BAY
-122.27,37.82,21,896,5,163,735,438,0.9218,171900,Long Beach,NEAR BAY
-122.27,37.82,43,1868,2,662,1061,407,1.5045,93800,San Jose,NEAR BAY
-122.27,37.82,41,3221,4,382,1959,720,1.1108,97500,San Jose,NEAR BAY
-122.27,37.82,52,1630,2,127,1162,400,1.2475,104200,Oakland,NEAR BAY
-122.28,37.82,52,1170,4,687,701,233,1.6098,87500,Los Angeles,NEAR BAY
-122.28,37.82,52,945,5,653,576,220,1.4113,83100,San Jose,NEAR BAY
-122.28,37.82,52,1238,3,173,622,259,1.5057,87500,San Diego,NEAR BAY
-122.28,37.82,52,1489,2,715,728,244,0.8172,85300,Los Angeles,NEAR BAY
-122.28,37.82,52,1387,3,678,1074,304,1.2171,80300,San Diego,NEAR BAY
-122.29,37.82,2,158,2,260,94,57,2.5625,60000,Sacramento,NEAR BAY
-122.29,37.83,52,1121,2,1238,554,187,3.3929,75700,Fresno,NEAR BAY
-122.29,37.82,49,135,5,573,86,23,6.1183,75000,San Jose,NEAR BAY
-122.29,37.81,50,760,5,262,377,122,0.9011,86100,San Francisco,NEAR BAY
-122.3,37.81,52,1224,4,1135,521,159,1.191,76100,Santa Ana,NEAR BAY
-122.3,37.81,48,828,2,613,392,133,2.5938,73500,Sacramento,NEAR BAY
-122.3,37.81,52,1010,3,324,604,187,1.1667,78400,San Jose,NEAR BAY
-122.3,37.81,48,1455,2,798,788,332,0.8056,84400,Santa Ana,NEAR BAY
-122.29,37.8,52,1027,2,406,492,147,2.6094,81300,Santa Ana,NEAR BAY
-122.3,37.81,52,572,4,155,274,82,1.8516,85000,Oakland,NEAR BAY
-122.29,37.81,46,2801,2,783,1823,611,0.9802,129200,San Francisco,NEAR BAY
-122.29,37.81,26,768,3,649,392,127,1.7719,82500,Long Beach,NEAR BAY
-122.29,37.81,46,935,2,147,582,277,0.7286,95200,Santa Ana,NEAR BAY
-122.29,37.81,49,844,4,1042,560,152,1.75,75000,San Francisco,NEAR BAY
-122.29,37.81,46,12,2,553,18,7,0.4999,67500,Oakland,NEAR BAY
-122.29,37.81,20,835,4,211,290,133,2.483,137500,San Francisco,NEAR BAY
-122.28,37.81,17,1237,3,462,762,439,0.9241,177500,Oakland,NEAR BAY
-122.28,37.81,36,2914,5,615,1236,509,2.4464,102100,San Jose,NEAR BAY
-122.28,37.81,19,1207,4,92,721,207,1.1111,108300,Bakersfield,NEAR BAY
-122.29,37.81,23,1745,5,376,1054,325,0.8026,112500,Fresno,NEAR BAY
-122.28,37.8,38,684,5,581,344,155,2.0114,131300,Fresno,NEAR BAY
-122.28,37.81,17,924,3,110,609,289,1.5,162500,Long Beach,NEAR BAY
-122.27,37.81,52,210,3,782,183,56,1.1667,112500,San Francisco,NEAR BAY
-122.28,37.81,52,340,4,337,200,87,1.5208,112500,Bakersfield,NEAR BAY
-122.28,37.81,52,386,5,190,346,155,0.8075,137500,San Diego,NEAR BAY
-122.28,37.81,35,948,3,578,467,169,1.8088,118800,Bakersfield,NEAR BAY
-122.28,37.81,52,773,3,298,377,115,2.4083,98200,San Diego,NEAR BAY
-122.27,37.81,40,880,4,90,582,380,0.977,118800,Bakersfield,NEAR BAY
-122.27,37.81,10,875,4,520,546,330,0.76,162500,San Jose,NEAR BAY
-122.27,37.8,10,105,5,347,125,39,0.9722,137500,Sacramento,NEAR BAY
-122.27,37.8,52,249,2,149,396,85,1.2434,500001,Los Angeles,NEAR BAY
-122.27,37.8,16,994,3,962,800,362,2.0938,162500,San Jose,NEAR BAY
-122.28,37.8,52,215,3,783,904,88,0.8668,137500,San Francisco,NEAR BAY
-122.28,37.8,52,96,2,223,191,34,0.75,162500,Long Beach,NEAR BAY
-122.27,37.79,27,1055,3,744,718,302,2.6354,187500,San Francisco,NEAR BAY
-122.27,37.8,39,1715,5,560,1327,467,1.8477,179200,Long Beach,NEAR BAY
-122.26,37.8,36,5329,2,120,3469,2323,2.0096,130000,Los Angeles,NEAR BAY
-122.26,37.82,31,4596,2,600,2048,1180,2.8345,183800,Oakland,NEAR BAY
-122.26,37.81,29,335,3,400,202,91,2.0062,125000,Oakland,NEAR BAY
-122.26,37.82,22,3682,4,124,2024,1250,1.2185,170000,Oakland,NEAR BAY
-122.26,37.82,37,3633,4,739,1838,980,2.6104,193100,Bakersfield,NEAR BAY
-122.25,37.81,29,4656,2,524,2304,1250,2.4912,257800,San Jose,NEAR BAY
-122.25,37.81,28,5806,5,151,2563,1497,3.2177,273400,Oakland,NEAR BAY
-122.25,37.81,39,854,3,708,389,228,3.125,237500,Bakersfield,NEAR BAY
-122.25,37.81,52,2155,2,360,895,613,2.5795,350000,Fresno,NEAR BAY
-122.26,37.81,34,5871,5,142,2689,1789,2.8406,335700,San Jose,NEAR BAY
-122.24,37.82,52,1509,3,924,674,244,4.9306,313400,Long Beach,NEAR BAY
-122.24,37.81,52,2026,2,263,709,456,3.2727,268500,Fresno,NEAR BAY
-122.25,37.81,52,1758,4,123,686,422,3.1691,259400,Oakland,NEAR BAY
-122.24,37.82,52,3481,4,740,1444,718,3.9,275700,Sacramento,NEAR BAY
-122.25,37.82,28,3337,5,497,1520,802,3.9063,225000,San Francisco,NEAR BAY
-122.25,37.82,52,1424,5,183,550,253,5.0917,262500,Santa Ana,NEAR BAY
-122.25,37.82,32,3809,3,1248,1806,1022,2.6429,218500,Oakland,NEAR BAY
-122.25,37.82,26,3959,5,537,1749,1217,3.0233,255000,San Jose,NEAR BAY
-122.25,37.83,52,2376,4,189,939,519,3.1484,224100,Bakersfield,NEAR BAY
-122.25,37.83,35,1613,2,857,675,422,3.4722,243100,Santa Ana,NEAR BAY
-122.25,37.83,52,1279,3,460,534,291,3.1429,231600,Oakland,NEAR BAY
-122.25,37.83,28,5022,3,165,2558,1661,2.4234,218500,San Diego,NEAR BAY
-122.25,37.83,52,4190,5,616,1786,1037,3.0897,234100,San Francisco,NEAR BAY
-122.23,37.84,50,2515,4,443,970,373,5.8596,327600,Long Beach,NEAR BAY
-122.23,37.84,47,3175,3,123,1098,485,5.2868,347600,Sacramento,NEAR BAY
-122.24,37.83,41,2576,2,605,794,376,5.956,366100,Oakland,NEAR BAY
-122.24,37.85,37,334,5,503,98,47,4.9643,335000,Sacramento,NEAR BAY
-122.23,37.85,52,2800,4,178,1061,403,6.3434,373600,Los Angeles,NEAR BAY
-122.24,37.84,52,3529,4,576,1177,555,5.1773,389500,Long Beach,NEAR BAY
-122.24,37.85,52,2612,4,351,901,367,7.2354,391100,Sacramento,NEAR BAY
-122.22,37.85,28,5287,3,173,2031,956,5.457,337300,Santa Ana,NEAR BAY
-122.22,37.84,50,2935,3,539,1031,479,7.5,295200,Long Beach,NEAR BAY
-122.21,37.84,44,3424,4,820,1358,597,6.0194,292300,San Jose,NEAR BAY
-122.21,37.83,40,4991,2,156,1616,654,7.5544,411500,Sacramento,NEAR BAY
-122.2,37.84,30,2211,2,429,844,343,6.0666,311500,Long Beach,NEAR BAY
-122.21,37.84,34,3038,5,435,1140,496,7.0548,325900,San Francisco,NEAR BAY
-122.19,37.84,18,1617,4,106,533,194,11.6017,392600,Sacramento,NEAR BAY
-122.2,37.84,35,2865,3,760,1072,443,7.4882,319300,Sacramento,NEAR BAY
-122.21,37.83,34,5065,3,423,1627,766,6.8976,333300,San Jose,NEAR BAY
-122.19,37.83,28,1326,3,113,463,190,8.2049,335200,Los Angeles,NEAR BAY
-122.2,37.83,26,1589,5,1137,542,211,8.401,351200,Bakersfield,NEAR BAY
-122.19,37.83,29,1791,3,736,661,269,6.8538,368900,Sacramento,NEAR BAY
-122.19,37.82,32,1835,3,189,635,263,8.317,365900,Santa Ana,NEAR BAY
-122.2,37.82,37,1229,3,802,420,176,7.0175,366700,Oakland,NEAR BAY
-122.2,37.82,39,3770,4,493,1265,500,6.3302,362800,Long Beach,NEAR BAY
-122.18,37.81,30,292,5,114,126,52,6.3624,483300,Fresno,NEAR BAY
-122.21,37.82,52,2375,5,850,813,350,7.0549,331400,San Diego,NEAR BAY
-122.2,37.81,45,2964,3,438,1067,426,6.7851,323500,San Jose,NEAR BAY
-122.21,37.8,50,2833,2,119,1260,552,2.8929,216700,Santa Ana,NEAR BAY
-122.21,37.8,38,2254,3,594,951,487,3.0812,233100,Long Beach,NEAR BAY
-122.21,37.81,52,1389,3,421,510,224,5.2402,296400,Bakersfield,NEAR BAY
-122.22,37.81,52,1971,3,121,765,308,6.5217,273700,Sacramento,NEAR BAY
-122.22,37.8,52,2183,4,790,1129,460,3.2632,227700,Fresno,NEAR BAY
-122.22,37.8,52,2286,5,446,1073,441,3.0298,199600,Oakland,NEAR BAY
-122.22,37.8,52,2721,3,106,1185,515,4.5428,239800,Los Angeles,NEAR BAY
-122.22,37.81,52,2024,4,486,756,340,4.072,270100,Long Beach,NEAR BAY
-122.22,37.81,52,2944,3,329,1034,521,5.3509,302100,Long Beach,NEAR BAY
-122.23,37.8,52,2033,4,106,787,459,3.1603,269500,Bakersfield,NEAR BAY
-122.23,37.81,52,1433,5,493,612,213,4.7708,314700,Santa Ana,NEAR BAY
-122.22,37.81,52,2927,2,276,1021,380,8.1564,390100,Long Beach,NEAR BAY
-122.23,37.81,52,2315,4,109,861,258,8.8793,410300,San Diego,NEAR BAY
-122.24,37.81,52,2485,4,468,953,327,6.8591,352400,Fresno,NEAR BAY
-122.24,37.81,52,1490,4,486,634,256,6.0302,287300,Santa Ana,NEAR BAY
-122.23,37.81,52,2814,2,106,878,352,7.508,348700,Oakland,NEAR BAY
-122.24,37.81,52,2093,4,644,918,483,2.7477,243800,Oakland,NEAR BAY
-122.24,37.8,52,888,4,993,360,175,2.1944,211500,Bakersfield,NEAR BAY
-122.25,37.8,52,2087,3,122,1197,488,3.0149,218400,Bakersfield,NEAR BAY
-122.24,37.81,52,2513,3,623,1048,518,3.675,269900,Long Beach,NEAR BAY
-122.25,37.81,46,3232,3,462,1373,747,3.225,218800,San Jose,NEAR BAY
-122.25,37.8,42,4120,4,90,1715,1015,2.9345,225000,Oakland,NEAR BAY
-122.25,37.8,43,2364,5,558,1359,722,2.1429,250000,Bakersfield,NEAR BAY
-122.25,37.8,41,1471,4,392,1062,413,1.6121,171400,Los Angeles,NEAR BAY
-122.25,37.8,29,2468,4,140,1335,773,1.3929,193800,Santa Ana,NEAR BAY
-122.24,37.79,27,1632,3,920,1171,429,2.3173,125000,San Francisco,NEAR BAY
-122.25,37.79,45,1786,2,615,1475,460,1.7772,97500,Bakersfield,NEAR BAY
-122.25,37.79,50,629,3,114,742,196,2.6458,125000,Fresno,NEAR BAY
-122.25,37.79,52,1339,5,468,1086,363,2.181,138800,San Jose,NEAR BAY
-122.25,37.8,36,1678,5,343,1645,543,2.2303,116700,Santa Ana,NEAR BAY
-122.25,37.8,43,2344,5,135,1710,644,1.6504,151800,Sacramento,NEAR BAY
-122.24,37.8,52,996,2,803,731,228,2.2697,127000,Bakersfield,NEAR BAY
-122.24,37.8,52,1591,4,249,1118,347,2.1563,128600,Oakland,NEAR BAY
-122.24,37.8,52,1586,4,80,1006,335,2.1348,140600,Santa Ana,NEAR BAY
-122.24,37.8,47,2046,5,658,1213,554,2.6292,182700,Oakland,NEAR BAY
-122.23,37.8,52,1192,5,417,772,257,2.3833,146900,Bakersfield,NEAR BAY
-122.24,37.8,52,1803,3,163,1321,401,2.957,122800,Sacramento,NEAR BAY
-122.24,37.8,49,2838,5,623,1487,677,2.5238,169300,Long Beach,NEAR BAY
-122.23,37.8,52,783,2,277,488,186,1.9375,126600,Santa Ana,NEAR BAY
-122.23,37.8,51,1590,4,72,949,392,1.9028,127900,Santa Ana,NEAR BAY
-122.23,37.8,50,1746,2,783,1149,415,2.25,123500,Santa Ana,NEAR BAY
-122.23,37.8,52,1252,4,551,844,280,2.3929,111900,Fresno,NEAR BAY
-122.23,37.79,43,5963,3,227,4367,1231,2.1917,112800,Oakland,NEAR BAY
-122.23,37.79,52,1783,3,1128,1659,412,2.9357,107900,San Jose,NEAR BAY
-122.23,37.79,30,999,2,412,1011,263,1.8854,137500,Los Angeles,NEAR BAY
-122.24,37.79,39,1469,4,136,1464,389,2.1638,105500,Bakersfield,NEAR BAY
-122.24,37.79,47,1372,3,1145,1237,303,2.125,95500,Bakersfield,NEAR BAY
-122.24,37.79,52,674,5,490,647,168,3.375,116100,Los Angeles,NEAR BAY
-122.24,37.79,43,1626,2,161,1284,357,2.2542,112200,Bakersfield,NEAR BAY
-122.25,37.79,51,175,4,1034,228,55,2.1,75000,Los Angeles,NEAR BAY
-122.25,37.79,39,461,5,255,381,123,1.6,112500,Bakersfield,NEAR BAY
-122.25,37.79,52,902,5,113,846,227,3.625,125000,Fresno,NEAR BAY
-122.26,37.8,20,2373,4,598,1659,676,1.6929,115000,Oakland,NEAR BAY
-122.22,37.77,52,391,4,484,520,138,1.6471,95000,Fresno,NEAR BAY
-122.22,37.77,52,1137,5,142,866,259,2.59,96400,Bakersfield,NEAR BAY
-122.23,37.77,52,769,2,520,612,183,2.57,72000,Santa Ana,NEAR BAY
-122.23,37.78,52,472,5,512,415,126,2.6429,71300,Sacramento,NEAR BAY
-122.23,37.78,52,862,3,107,994,213,3.0257,80800,San Jose,NEAR BAY
-122.22,37.78,50,1920,3,855,1525,477,1.4886,128800,San Diego,NEAR BAY
-122.23,37.78,43,1420,5,654,1506,438,1.9338,112500,Los Angeles,NEAR BAY
-122.23,37.78,52,986,2,156,1008,255,1.4844,119400,Fresno,NEAR BAY
-122.23,37.78,44,2340,5,662,2813,751,1.6009,118100,Santa Ana,NEAR BAY
-122.23,37.79,48,1696,5,272,1481,343,2.0375,122500,Sacramento,NEAR BAY
-122.23,37.79,49,1175,3,109,859,219,2.293,106300,San Francisco,NEAR BAY
-122.22,37.79,37,2343,4,906,1608,523,2.1494,132500,Santa Ana,NEAR BAY
-122.23,37.79,30,610,5,801,425,140,1.6198,122700,Los Angeles,NEAR BAY
-122.23,37.79,40,930,5,168,564,184,1.3281,113300,San Diego,NEAR BAY
-122.22,37.79,44,1487,5,612,961,272,3.5156,109500,Sacramento,NEAR BAY
-122.22,37.79,52,3424,4,464,2273,685,3.9048,164700,Bakersfield,NEAR BAY
-122.21,37.79,52,762,2,92,600,195,3.0893,125000,Los Angeles,NEAR BAY
-122.22,37.79,46,2366,5,942,1647,527,2.6042,124700,Fresno,NEAR BAY
-122.22,37.79,49,1826,5,560,1201,424,2.5,136700,Fresno,NEAR BAY
-122.22,37.79,38,3049,5,102,2167,659,2.7969,141700,Santa Ana,NEAR BAY
-122.2,37.79,29,1640,3,916,939,340,2.8321,150000,Long Beach,NEAR BAY
-122.21,37.79,47,1543,2,589,859,292,2.9583,138800,Oakland,NEAR BAY
-122.21,37.79,34,2364,3,104,1517,516,2.8365,139200,Santa Ana,NEAR BAY
-122.21,37.79,35,1745,4,696,1143,386,2.875,143800,Fresno,NEAR BAY
-122.21,37.8,39,2003,5,304,1109,464,3.0682,156500,San Diego,NEAR BAY
-122.21,37.8,39,2018,4,106,1221,446,3.0757,151000,Bakersfield,NEAR BAY
-122.2,37.8,43,3045,2,446,1115,455,4.9559,273000,San Jose,NEAR BAY
-122.2,37.8,52,1547,4,451,706,268,4.7721,217100,Oakland,NEAR BAY
-122.21,37.8,52,3519,5,86,1883,706,3.4861,187100,Santa Ana,NEAR BAY
-122.2,37.8,41,2070,3,687,804,340,5.1184,239600,Los Angeles,NEAR BAY
-122.21,37.8,48,1321,2,480,506,252,4.0977,229700,Fresno,NEAR BAY
-122.19,37.8,48,1694,2,139,610,238,4.744,257300,Fresno,NEAR BAY
-122.19,37.8,46,1938,3,1130,768,332,4.2727,246900,Long Beach,NEAR BAY
-122.19,37.79,50,968,4,494,462,184,2.9844,179900,Fresno,NEAR BAY
-122.2,37.79,40,1060,2,76,667,235,4.1739,169600,Oakland,NEAR BAY
-122.2,37.8,46,2041,3,534,1059,399,3.8487,203300,Sacramento,NEAR BAY
-122.19,37.8,52,1813,3,508,637,277,4.0114,263400,San Diego,NEAR BAY
-122.19,37.79,45,2718,2,198,1106,454,4.6563,231800,Los Angeles,NEAR BAY
-122.19,37.79,28,3144,5,805,1737,669,2.9297,140500,Los Angeles,NEAR BAY
-122.2,37.79,35,1802,5,278,1009,390,2.3036,126000,San Diego,NEAR BAY
-122.2,37.79,49,882,5,107,737,210,2.6667,122000,Los Angeles,NEAR BAY
-122.2,37.79,44,1621,3,572,1354,491,2.619,134700,San Diego,NEAR BAY
-122.21,37.79,45,2115,5,510,1530,474,2.4167,139400,Long Beach,NEAR BAY
-122.2,37.79,45,2021,2,117,1410,480,2.7788,115400,Los Angeles,NEAR BAY
-122.21,37.78,46,2239,2,606,1390,569,2.7352,137300,San Francisco,NEAR BAY
-122.21,37.78,52,1477,3,503,1065,269,1.8472,137000,San Diego,NEAR BAY
-122.21,37.78,52,1056,2,130,792,245,2.6583,142600,San Diego,NEAR BAY
-122.21,37.78,49,898,5,465,779,245,3.0536,137500,Fresno,NEAR BAY
-122.22,37.78,44,2968,4,577,2269,610,2.3906,111700,Santa Ana,NEAR BAY
-122.21,37.78,43,1702,2,143,1227,407,1.7188,126800,Bakersfield,NEAR BAY
-122.21,37.78,47,881,2,901,753,241,2.625,111300,San Jose,NEAR BAY
-122.22,37.77,40,494,5,650,547,135,2.8015,114800,Bakersfield,NEAR BAY
-122.22,37.78,50,1776,5,100,1807,440,1.7276,102300,Bakersfield,NEAR BAY
-122.22,37.78,44,1678,3,847,1700,495,2.0801,131900,San Jose,NEAR BAY
-122.22,37.78,51,1637,2,403,1543,393,2.489,119100,San Francisco,NEAR BAY
-122.21,37.76,52,1420,5,123,1085,300,1.7546,80600,Sacramento,NEAR BAY
-122.21,37.77,52,591,3,611,353,137,4.0904,80600,San Francisco,NEAR BAY
-122.21,37.77,52,745,2,1074,473,149,2.6765,88800,Oakland,NEAR BAY
-122.2,37.77,49,2272,2,145,1621,483,2.4338,102400,San Francisco,NEAR BAY
-122.21,37.77,46,1234,2,526,1183,354,2.3309,98700,San Diego,NEAR BAY
-122.21,37.77,43,1017,4,322,836,277,2.2604,1.00E+05,Oakland,NEAR BAY
-122.19,37.77,42,932,4,169,900,263,1.8039,92300,San Francisco,NEAR BAY
-122.2,37.77,39,2689,3,841,1888,537,2.2562,94800,Santa Ana,NEAR BAY
-122.2,37.77,41,1547,2,342,1024,341,2.0562,102000,Oakland,NEAR BAY
-122.2,37.78,52,2300,5,139,1225,423,3.5398,158400,Santa Ana,NEAR BAY
-122.2,37.78,39,1752,3,447,1071,376,3.1167,121600,Sacramento,NEAR BAY
-122.2,37.78,50,1867,5,292,1128,378,2.5401,129100,San Diego,NEAR BAY
-122.2,37.77,43,2430,4,198,1537,484,2.898,121400,San Jose,NEAR BAY
-122.21,37.78,44,1729,3,801,1240,393,2.3125,102800,Bakersfield,NEAR BAY
-122.19,37.78,52,1026,4,610,469,168,2.875,160000,Santa Ana,NEAR BAY
-122.19,37.77,52,2170,3,210,1086,425,3.3715,143900,Oakland,NEAR BAY
-122.19,37.77,52,2329,4,831,1144,417,3.5114,151200,Fresno,NEAR BAY
-122.19,37.78,52,2492,2,283,1109,375,4.3125,164400,Los Angeles,NEAR BAY
-122.19,37.78,52,2198,2,85,984,369,3.22,156500,San Francisco,NEAR BAY
-122.18,37.78,33,142,2,834,575,47,3.875,225000,San Diego,NEAR BAY
-122.19,37.78,49,1183,2,495,496,209,5.2328,174200,Fresno,NEAR BAY
-122.19,37.78,52,1070,4,141,555,190,3.7262,166900,Los Angeles,NEAR BAY
-122.2,37.78,45,1766,3,320,869,327,4.5893,163500,San Francisco,NEAR BAY
-122.18,37.79,39,617,2,331,236,106,5.2578,253000,Santa Ana,NEAR BAY
-122.18,37.79,41,1411,3,166,626,214,7.0875,240700,San Diego,NEAR BAY
-122.18,37.79,46,2109,2,598,922,329,3.9712,208100,San Jose,NEAR BAY
-122.19,37.79,47,1229,4,373,582,256,2.9514,198100,San Francisco,NEAR BAY
-122.19,37.79,50,954,4,110,546,201,2.6667,172800,San Francisco,NEAR BAY
-122.18,37.81,37,1643,2,559,620,266,5.4446,336700,Santa Ana,NEAR BAY
-122.18,37.8,34,1355,5,320,442,195,6.2838,318200,San Diego,NEAR BAY
-122.18,37.8,23,2317,3,112,955,328,6.7527,285800,Los Angeles,NEAR BAY
-122.13,37.77,24,2459,4,744,916,324,7.0712,293000,San Jose,NEAR BAY
-122.16,37.79,22,12842,2,308,4985,1967,5.9849,371000,Bakersfield,NEAR BAY
-122.17,37.78,42,1524,4,153,651,267,3.6875,157300,Long Beach,NEAR BAY
-122.17,37.77,30,3326,3,648,1704,703,2.875,135300,Bakersfield,NEAR BAY
-122.18,37.78,43,1985,5,549,1085,407,3.4205,136700,Bakersfield,NEAR BAY
-122.18,37.78,50,1642,5,86,713,284,3.2984,160700,Sacramento,NEAR BAY
-122.17,37.78,49,893,2,846,468,181,3.875,140600,San Jose,NEAR BAY
-122.17,37.78,52,653,5,285,296,121,4.175,144000,Sacramento,NEAR BAY
-122.16,37.77,47,1256,2,265,570,218,4.375,161900,Sacramento,NEAR BAY
-122.16,37.77,48,977,2,833,446,180,4.7708,156300,Santa Ana,NEAR BAY
-122.16,37.77,45,2324,2,816,968,384,3.5739,176000,Long Beach,NEAR BAY
-122.16,37.77,39,1583,2,213,857,316,3.0958,145800,Oakland,NEAR BAY
-122.17,37.77,39,1612,4,1089,912,322,3.3958,141900,Bakersfield,NEAR BAY
-122.17,37.77,31,2424,3,780,1360,452,1.871,90700,Los Angeles,NEAR BAY
-122.17,37.76,41,1594,3,190,1074,355,1.9356,90600,San Diego,NEAR BAY
-122.17,37.76,47,2118,3,826,965,382,2.1842,107900,Long Beach,NEAR BAY
-122.18,37.76,37,1575,4,345,933,320,2.2917,107000,San Francisco,NEAR BAY
-122.17,37.76,38,1764,2,119,987,354,2.4333,98200,Bakersfield,NEAR BAY
-122.18,37.76,50,1187,3,901,907,246,1.9479,89500,Oakland,NEAR BAY
-122.18,37.76,52,754,3,385,447,165,3.9063,93800,Los Angeles,NEAR BAY
-122.18,37.76,49,2308,2,54,1299,451,1.8407,96700,San Diego,NEAR BAY
-122.18,37.77,27,909,3,554,396,157,2.0786,97500,San Francisco,NEAR BAY
-122.18,37.77,42,1180,2,376,877,268,2.8125,97300,San Francisco,NEAR BAY
-122.18,37.76,43,2018,2,118,1111,367,1.8913,91200,San Jose,NEAR BAY
-122.19,37.76,49,1368,3,522,790,269,1.7056,91400,Bakersfield,NEAR BAY
-122.18,37.77,52,2744,4,317,1479,554,2.2768,96200,Fresno,NEAR BAY
-122.18,37.77,51,2107,2,165,1173,438,3.2552,120100,Sacramento,NEAR BAY
-122.18,37.77,52,1748,4,958,1029,366,2.0556,1.00E+05,San Diego,NEAR BAY
-122.19,37.76,52,2024,5,428,1030,350,2.4659,94700,Los Angeles,NEAR BAY
-122.2,37.76,47,1116,2,156,826,279,1.75,85700,Los Angeles,NEAR BAY
-122.19,37.77,41,2036,3,517,1412,454,2.0469,89300,Fresno,NEAR BAY
-122.19,37.77,45,1852,2,683,1132,349,2.7159,101400,San Diego,NEAR BAY
